class	variable	value
LTR/TRIM	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
TIR/PiggyBac	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
LTR/Copia_1	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
LTR/Copia_2	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
LTR/Copia_4	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
LTR/Gypsy_1	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
LTR/Gypsy_2	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
LTR/Gypsy_3	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
DNAauto/Helitron	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
DNAnona/Helitron	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
LTR/Solo	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
MITE/DTA	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
Satellite	Histoplasma capsulatum senso_stricto SECH_101_G184AR	0
DNA/DTA	Histoplasma mississippiense SECH_102-505	0
DNA/DTC	Histoplasma mississippiense SECH_102-505	2.93e-4
DNA/DTH	Histoplasma mississippiense SECH_102-505	0.001274353
DNA/DTM	Histoplasma mississippiense SECH_102-505	2.12e-4
DNA/DTT	Histoplasma mississippiense SECH_102-505	9.72e-5
DNA/Helitron	Histoplasma mississippiense SECH_102-505	1.08e-4
LINE/unknown	Histoplasma mississippiense SECH_102-505	5.46e-4
LTR/Copia	Histoplasma mississippiense SECH_102-505	0
LTR/Gypsy	Histoplasma mississippiense SECH_102-505	4.12e-4
LTR/unknown	Histoplasma mississippiense SECH_102-505	0.005232199
Low_complexity	Histoplasma mississippiense SECH_102-505	0.00297236
MITE/DTM	Histoplasma mississippiense SECH_102-505	2.67e-5
Simple_repeat	Histoplasma mississippiense SECH_102-505	0.013593631
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_102-505	0
Unknown	Histoplasma mississippiense SECH_102-505	0.015523929
MITE/DTC	Histoplasma mississippiense SECH_102-505	1.64e-5
MITE/DTH	Histoplasma mississippiense SECH_102-505	0
MITE/DTT	Histoplasma mississippiense SECH_102-505	0
LTR/TRIM	Histoplasma mississippiense SECH_102-505	0
TIR/PiggyBac	Histoplasma mississippiense SECH_102-505	0
LTR/Copia_1	Histoplasma mississippiense SECH_102-505	0
LTR/Copia_2	Histoplasma mississippiense SECH_102-505	0
LTR/Copia_4	Histoplasma mississippiense SECH_102-505	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_102-505	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_102-505	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_102-505	0
DNAauto/Helitron	Histoplasma mississippiense SECH_102-505	0
DNAnona/Helitron	Histoplasma mississippiense SECH_102-505	0
LTR/Solo	Histoplasma mississippiense SECH_102-505	0
MITE/DTA	Histoplasma mississippiense SECH_102-505	0
Satellite	Histoplasma mississippiense SECH_102-505	0
DNA/DTA	Histoplasma capsulatum SECH_103-3_11G	0
DNA/DTC	Histoplasma capsulatum SECH_103-3_11G	1.85e-4
DNA/DTH	Histoplasma capsulatum SECH_103-3_11G	1.81e-4
DNA/DTM	Histoplasma capsulatum SECH_103-3_11G	4.02e-4
DNA/DTT	Histoplasma capsulatum SECH_103-3_11G	0
DNA/Helitron	Histoplasma capsulatum SECH_103-3_11G	0
LINE/unknown	Histoplasma capsulatum SECH_103-3_11G	0.00237
LTR/Copia	Histoplasma capsulatum SECH_103-3_11G	7.43e-5
LTR/Gypsy	Histoplasma capsulatum SECH_103-3_11G	0.00408
LTR/unknown	Histoplasma capsulatum SECH_103-3_11G	0.155735974
Low_complexity	Histoplasma capsulatum SECH_103-3_11G	0.003198147
MITE/DTM	Histoplasma capsulatum SECH_103-3_11G	0.00258
Simple_repeat	Histoplasma capsulatum SECH_103-3_11G	0.012908963
TIR/Tc1_Mariner	Histoplasma capsulatum SECH_103-3_11G	0
Unknown	Histoplasma capsulatum SECH_103-3_11G	0.045485753
MITE/DTC	Histoplasma capsulatum SECH_103-3_11G	0
MITE/DTH	Histoplasma capsulatum SECH_103-3_11G	0
MITE/DTT	Histoplasma capsulatum SECH_103-3_11G	0
LTR/TRIM	Histoplasma capsulatum SECH_103-3_11G	0
TIR/PiggyBac	Histoplasma capsulatum SECH_103-3_11G	0
LTR/Copia_1	Histoplasma capsulatum SECH_103-3_11G	0
LTR/Copia_2	Histoplasma capsulatum SECH_103-3_11G	0
LTR/Copia_4	Histoplasma capsulatum SECH_103-3_11G	0
LTR/Gypsy_1	Histoplasma capsulatum SECH_103-3_11G	0
LTR/Gypsy_2	Histoplasma capsulatum SECH_103-3_11G	0
LTR/Gypsy_3	Histoplasma capsulatum SECH_103-3_11G	0
DNAauto/Helitron	Histoplasma capsulatum SECH_103-3_11G	0
DNAnona/Helitron	Histoplasma capsulatum SECH_103-3_11G	0
LTR/Solo	Histoplasma capsulatum SECH_103-3_11G	0
MITE/DTA	Histoplasma capsulatum SECH_103-3_11G	0
Satellite	Histoplasma capsulatum SECH_103-3_11G	0
DNA/DTA	Histoplasma capsulatum SECH_104-27_14	0
DNA/DTC	Histoplasma capsulatum SECH_104-27_14	0.00367
DNA/DTH	Histoplasma capsulatum SECH_104-27_14	0
DNA/DTM	Histoplasma capsulatum SECH_104-27_14	1.16e-4
DNA/DTT	Histoplasma capsulatum SECH_104-27_14	0
DNA/Helitron	Histoplasma capsulatum SECH_104-27_14	6.37e-4
LINE/unknown	Histoplasma capsulatum SECH_104-27_14	0.004229327
LTR/Copia	Histoplasma capsulatum SECH_104-27_14	0
LTR/Gypsy	Histoplasma capsulatum SECH_104-27_14	0.0847
LTR/unknown	Histoplasma capsulatum SECH_104-27_14	0.050648248
Low_complexity	Histoplasma capsulatum SECH_104-27_14	0.003530396
MITE/DTM	Histoplasma capsulatum SECH_104-27_14	2.23e-5
Simple_repeat	Histoplasma capsulatum SECH_104-27_14	0.014001615
TIR/Tc1_Mariner	Histoplasma capsulatum SECH_104-27_14	4.15e-4
Unknown	Histoplasma capsulatum SECH_104-27_14	0.057933225
MITE/DTC	Histoplasma capsulatum SECH_104-27_14	0
MITE/DTH	Histoplasma capsulatum SECH_104-27_14	0
MITE/DTT	Histoplasma capsulatum SECH_104-27_14	0
LTR/TRIM	Histoplasma capsulatum SECH_104-27_14	0
TIR/PiggyBac	Histoplasma capsulatum SECH_104-27_14	0
LTR/Copia_1	Histoplasma capsulatum SECH_104-27_14	0
LTR/Copia_2	Histoplasma capsulatum SECH_104-27_14	0
LTR/Copia_4	Histoplasma capsulatum SECH_104-27_14	0
LTR/Gypsy_1	Histoplasma capsulatum SECH_104-27_14	0
LTR/Gypsy_2	Histoplasma capsulatum SECH_104-27_14	0
LTR/Gypsy_3	Histoplasma capsulatum SECH_104-27_14	0
DNAauto/Helitron	Histoplasma capsulatum SECH_104-27_14	0
DNAnona/Helitron	Histoplasma capsulatum SECH_104-27_14	0
LTR/Solo	Histoplasma capsulatum SECH_104-27_14	0
MITE/DTA	Histoplasma capsulatum SECH_104-27_14	0
Satellite	Histoplasma capsulatum SECH_104-27_14	0
DNA/DTA	Histoplasma capsulatumSECH_105-21_14	3.55e-4
DNA/DTC	Histoplasma capsulatumSECH_105-21_14	0.00776
DNA/DTH	Histoplasma capsulatumSECH_105-21_14	1.66e-4
DNA/DTM	Histoplasma capsulatumSECH_105-21_14	0.007476458
DNA/DTT	Histoplasma capsulatumSECH_105-21_14	2.53e-5
DNA/Helitron	Histoplasma capsulatumSECH_105-21_14	0.00402
LINE/unknown	Histoplasma capsulatumSECH_105-21_14	0.00136
LTR/Copia	Histoplasma capsulatumSECH_105-21_14	0.00165
LTR/Gypsy	Histoplasma capsulatumSECH_105-21_14	0.0216
LTR/unknown	Histoplasma capsulatumSECH_105-21_14	0.084470145
Low_complexity	Histoplasma capsulatumSECH_105-21_14	0.003044669
MITE/DTM	Histoplasma capsulatumSECH_105-21_14	0.00199
Simple_repeat	Histoplasma capsulatumSECH_105-21_14	0.01219907
TIR/Tc1_Mariner	Histoplasma capsulatumSECH_105-21_14	0
Unknown	Histoplasma capsulatumSECH_105-21_14	0.097918963
MITE/DTC	Histoplasma capsulatumSECH_105-21_14	2.04e-5
MITE/DTH	Histoplasma capsulatumSECH_105-21_14	0
MITE/DTT	Histoplasma capsulatumSECH_105-21_14	0
LTR/TRIM	Histoplasma capsulatumSECH_105-21_14	0
TIR/PiggyBac	Histoplasma capsulatumSECH_105-21_14	0
LTR/Copia_1	Histoplasma capsulatumSECH_105-21_14	0
LTR/Copia_2	Histoplasma capsulatumSECH_105-21_14	0
LTR/Copia_4	Histoplasma capsulatumSECH_105-21_14	0
LTR/Gypsy_1	Histoplasma capsulatumSECH_105-21_14	0
LTR/Gypsy_2	Histoplasma capsulatumSECH_105-21_14	0
LTR/Gypsy_3	Histoplasma capsulatumSECH_105-21_14	0
DNAauto/Helitron	Histoplasma capsulatumSECH_105-21_14	0
DNAnona/Helitron	Histoplasma capsulatumSECH_105-21_14	0
LTR/Solo	Histoplasma capsulatumSECH_105-21_14	0
MITE/DTA	Histoplasma capsulatumSECH_105-21_14	0
Satellite	Histoplasma capsulatumSECH_105-21_14	0
DNA/DTA	Histoplasma capsulatum SECH_107-duboisii-B	0
DNA/DTC	Histoplasma capsulatum SECH_107-duboisii-B	0.00222
DNA/DTH	Histoplasma capsulatum SECH_107-duboisii-B	8.11e-4
DNA/DTM	Histoplasma capsulatum SECH_107-duboisii-B	0.0032
DNA/DTT	Histoplasma capsulatum SECH_107-duboisii-B	1.62e-4
DNA/Helitron	Histoplasma capsulatum SECH_107-duboisii-B	1.42e-4
LINE/unknown	Histoplasma capsulatum SECH_107-duboisii-B	0.015536529
LTR/Copia	Histoplasma capsulatum SECH_107-duboisii-B	0.00816
LTR/Gypsy	Histoplasma capsulatum SECH_107-duboisii-B	0.086015455
LTR/unknown	Histoplasma capsulatum SECH_107-duboisii-B	0.161541629
Low_complexity	Histoplasma capsulatum SECH_107-duboisii-B	0.002976705
MITE/DTM	Histoplasma capsulatum SECH_107-duboisii-B	1.21e-4
Simple_repeat	Histoplasma capsulatum SECH_107-duboisii-B	0.011936875
TIR/Tc1_Mariner	Histoplasma capsulatum SECH_107-duboisii-B	4.9e-4
Unknown	Histoplasma capsulatum SECH_107-duboisii-B	0.053512844
MITE/DTC	Histoplasma capsulatum SECH_107-duboisii-B	1.34e-4
MITE/DTH	Histoplasma capsulatum SECH_107-duboisii-B	0
MITE/DTT	Histoplasma capsulatum SECH_107-duboisii-B	0
LTR/TRIM	Histoplasma capsulatum SECH_107-duboisii-B	0
TIR/PiggyBac	Histoplasma capsulatum SECH_107-duboisii-B	0
LTR/Copia_1	Histoplasma capsulatum SECH_107-duboisii-B	0
LTR/Copia_2	Histoplasma capsulatum SECH_107-duboisii-B	0
LTR/Copia_4	Histoplasma capsulatum SECH_107-duboisii-B	0
LTR/Gypsy_1	Histoplasma capsulatum SECH_107-duboisii-B	0
LTR/Gypsy_2	Histoplasma capsulatum SECH_107-duboisii-B	0
LTR/Gypsy_3	Histoplasma capsulatum SECH_107-duboisii-B	0
DNAauto/Helitron	Histoplasma capsulatum SECH_107-duboisii-B	0
DNAnona/Helitron	Histoplasma capsulatum SECH_107-duboisii-B	0
LTR/Solo	Histoplasma capsulatum SECH_107-duboisii-B	0
MITE/DTA	Histoplasma capsulatum SECH_107-duboisii-B	0
Satellite	Histoplasma capsulatum SECH_107-duboisii-B	0
DNA/DTA	Histoplasma capsulatum SECH_109	1.67e-4
DNA/DTC	Histoplasma capsulatum SECH_109	1.03e-4
DNA/DTH	Histoplasma capsulatum SECH_109	2.89e-4
DNA/DTM	Histoplasma capsulatum SECH_109	2.54e-4
DNA/DTT	Histoplasma capsulatum SECH_109	0
DNA/Helitron	Histoplasma capsulatum SECH_109	4.31e-4
LINE/unknown	Histoplasma capsulatum SECH_109	0.00273
LTR/Copia	Histoplasma capsulatum SECH_109	0
LTR/Gypsy	Histoplasma capsulatum SECH_109	0.003155896
LTR/unknown	Histoplasma capsulatum SECH_109	0.013925857
Low_complexity	Histoplasma capsulatum SECH_109	0.003875366
MITE/DTM	Histoplasma capsulatum SECH_109	4.9e-5
Simple_repeat	Histoplasma capsulatum SECH_109	0.015661441
TIR/Tc1_Mariner	Histoplasma capsulatum SECH_109	0
Unknown	Histoplasma capsulatum SECH_109	0.032702803
MITE/DTC	Histoplasma capsulatum SECH_109	0
MITE/DTH	Histoplasma capsulatum SECH_109	0
MITE/DTT	Histoplasma capsulatum SECH_109	0
LTR/TRIM	Histoplasma capsulatum SECH_109	0
TIR/PiggyBac	Histoplasma capsulatum SECH_109	0
LTR/Copia_1	Histoplasma capsulatum SECH_109	0
LTR/Copia_2	Histoplasma capsulatum SECH_109	0
LTR/Copia_4	Histoplasma capsulatum SECH_109	0
LTR/Gypsy_1	Histoplasma capsulatum SECH_109	0
LTR/Gypsy_2	Histoplasma capsulatum SECH_109	0
LTR/Gypsy_3	Histoplasma capsulatum SECH_109	0
DNAauto/Helitron	Histoplasma capsulatum SECH_109	0
DNAnona/Helitron	Histoplasma capsulatum SECH_109	0
LTR/Solo	Histoplasma capsulatum SECH_109	0
MITE/DTA	Histoplasma capsulatum SECH_109	0
Satellite	Histoplasma capsulatum SECH_109	0
DNA/DTA	Histoplasma capsulatum SECH_110	0
DNA/DTC	Histoplasma capsulatum SECH_110	5.57e-4
DNA/DTH	Histoplasma capsulatum SECH_110	0
DNA/DTM	Histoplasma capsulatum SECH_110	3.67e-4
DNA/DTT	Histoplasma capsulatum SECH_110	1.39e-4
DNA/Helitron	Histoplasma capsulatum SECH_110	0.006484271
LINE/unknown	Histoplasma capsulatum SECH_110	0
LTR/Copia	Histoplasma capsulatum SECH_110	0
LTR/Gypsy	Histoplasma capsulatum SECH_110	0.0155
LTR/unknown	Histoplasma capsulatum SECH_110	0.0453
Low_complexity	Histoplasma capsulatum SECH_110	0.00401
MITE/DTM	Histoplasma capsulatum SECH_110	0
Simple_repeat	Histoplasma capsulatum SECH_110	0.016142693
TIR/Tc1_Mariner	Histoplasma capsulatum SECH_110	0
Unknown	Histoplasma capsulatum SECH_110	0.062211301
MITE/DTC	Histoplasma capsulatum SECH_110	0
MITE/DTH	Histoplasma capsulatum SECH_110	8.35e-5
MITE/DTT	Histoplasma capsulatum SECH_110	0
LTR/TRIM	Histoplasma capsulatum SECH_110	0
TIR/PiggyBac	Histoplasma capsulatum SECH_110	0
LTR/Copia_1	Histoplasma capsulatum SECH_110	0
LTR/Copia_2	Histoplasma capsulatum SECH_110	0
LTR/Copia_4	Histoplasma capsulatum SECH_110	0
LTR/Gypsy_1	Histoplasma capsulatum SECH_110	0
LTR/Gypsy_2	Histoplasma capsulatum SECH_110	0
LTR/Gypsy_3	Histoplasma capsulatum SECH_110	0
DNAauto/Helitron	Histoplasma capsulatum SECH_110	0
DNAnona/Helitron	Histoplasma capsulatum SECH_110	0
LTR/Solo	Histoplasma capsulatum SECH_110	0
MITE/DTA	Histoplasma capsulatum SECH_110	0
Satellite	Histoplasma capsulatum SECH_110	0
DNA/DTA	Histoplasma mississippiense SECH_81-WU24	1.56e-4
DNA/DTC	Histoplasma mississippiense SECH_81-WU24	5.03e-4
DNA/DTH	Histoplasma mississippiense SECH_81-WU24	0.002956457
DNA/DTM	Histoplasma mississippiense SECH_81-WU24	2.06e-4
DNA/DTT	Histoplasma mississippiense SECH_81-WU24	0
DNA/Helitron	Histoplasma mississippiense SECH_81-WU24	1.15e-4
LINE/unknown	Histoplasma mississippiense SECH_81-WU24	0.001913431
LTR/Copia	Histoplasma mississippiense SECH_81-WU24	0
LTR/Gypsy	Histoplasma mississippiense SECH_81-WU24	0.002997566
LTR/unknown	Histoplasma mississippiense SECH_81-WU24	0.0129189
Low_complexity	Histoplasma mississippiense SECH_81-WU24	0.003580643
MITE/DTM	Histoplasma mississippiense SECH_81-WU24	1.26e-4
Simple_repeat	Histoplasma mississippiense SECH_81-WU24	0.015216255
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_81-WU24	0
Unknown	Histoplasma mississippiense SECH_81-WU24	0.029365108
MITE/DTC	Histoplasma mississippiense SECH_81-WU24	0
MITE/DTH	Histoplasma mississippiense SECH_81-WU24	0
MITE/DTT	Histoplasma mississippiense SECH_81-WU24	0
LTR/TRIM	Histoplasma mississippiense SECH_81-WU24	0
TIR/PiggyBac	Histoplasma mississippiense SECH_81-WU24	0
LTR/Copia_1	Histoplasma mississippiense SECH_81-WU24	0
LTR/Copia_2	Histoplasma mississippiense SECH_81-WU24	0
LTR/Copia_4	Histoplasma mississippiense SECH_81-WU24	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_81-WU24	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_81-WU24	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_81-WU24	0
DNAauto/Helitron	Histoplasma mississippiense SECH_81-WU24	0
DNAnona/Helitron	Histoplasma mississippiense SECH_81-WU24	0
LTR/Solo	Histoplasma mississippiense SECH_81-WU24	0
MITE/DTA	Histoplasma mississippiense SECH_81-WU24	0
Satellite	Histoplasma mississippiense SECH_81-WU24	0
DNA/DTA	Histoplasma mississippiense SECH_83-CI_7	1.55e-4
DNA/DTC	Histoplasma mississippiense SECH_83-CI_7	0.0013
DNA/DTH	Histoplasma mississippiense SECH_83-CI_7	0.00277
DNA/DTM	Histoplasma mississippiense SECH_83-CI_7	7.83e-4
DNA/DTT	Histoplasma mississippiense SECH_83-CI_7	0
DNA/Helitron	Histoplasma mississippiense SECH_83-CI_7	0.0039
LINE/unknown	Histoplasma mississippiense SECH_83-CI_7	0.00124474
LTR/Copia	Histoplasma mississippiense SECH_83-CI_7	0
LTR/Gypsy	Histoplasma mississippiense SECH_83-CI_7	0.002856171
LTR/unknown	Histoplasma mississippiense SECH_83-CI_7	0.013338098
Low_complexity	Histoplasma mississippiense SECH_83-CI_7	0.003434528
MITE/DTM	Histoplasma mississippiense SECH_83-CI_7	2.16e-5
Simple_repeat	Histoplasma mississippiense SECH_83-CI_7	0.014920161
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_83-CI_7	3.09e-4
Unknown	Histoplasma mississippiense SECH_83-CI_7	0.02619696
MITE/DTC	Histoplasma mississippiense SECH_83-CI_7	1.75e-5
MITE/DTH	Histoplasma mississippiense SECH_83-CI_7	0
MITE/DTT	Histoplasma mississippiense SECH_83-CI_7	0
LTR/TRIM	Histoplasma mississippiense SECH_83-CI_7	0
TIR/PiggyBac	Histoplasma mississippiense SECH_83-CI_7	0
LTR/Copia_1	Histoplasma mississippiense SECH_83-CI_7	0
LTR/Copia_2	Histoplasma mississippiense SECH_83-CI_7	0
LTR/Copia_4	Histoplasma mississippiense SECH_83-CI_7	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_83-CI_7	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_83-CI_7	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_83-CI_7	0
DNAauto/Helitron	Histoplasma mississippiense SECH_83-CI_7	0
DNAnona/Helitron	Histoplasma mississippiense SECH_83-CI_7	0
LTR/Solo	Histoplasma mississippiense SECH_83-CI_7	0
MITE/DTA	Histoplasma mississippiense SECH_83-CI_7	0
Satellite	Histoplasma mississippiense SECH_83-CI_7	0
DNA/DTA	Histoplasma mississippiense SECH_84-CI_19	1.51e-4
DNA/DTC	Histoplasma mississippiense SECH_84-CI_19	6.06e-4
DNA/DTH	Histoplasma mississippiense SECH_84-CI_19	1.94e-4
DNA/DTM	Histoplasma mississippiense SECH_84-CI_19	6.99e-5
DNA/DTT	Histoplasma mississippiense SECH_84-CI_19	0
DNA/Helitron	Histoplasma mississippiense SECH_84-CI_19	6.12e-4
LINE/unknown	Histoplasma mississippiense SECH_84-CI_19	0.001343916
LTR/Copia	Histoplasma mississippiense SECH_84-CI_19	0
LTR/Gypsy	Histoplasma mississippiense SECH_84-CI_19	0.003826543
LTR/unknown	Histoplasma mississippiense SECH_84-CI_19	0.011297948
Low_complexity	Histoplasma mississippiense SECH_84-CI_19	0.003432646
MITE/DTM	Histoplasma mississippiense SECH_84-CI_19	1.41e-4
Simple_repeat	Histoplasma mississippiense SECH_84-CI_19	0.014733045
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_84-CI_19	0
Unknown	Histoplasma mississippiense SECH_84-CI_19	0.027111079
MITE/DTC	Histoplasma mississippiense SECH_84-CI_19	1.7e-5
MITE/DTH	Histoplasma mississippiense SECH_84-CI_19	0
MITE/DTT	Histoplasma mississippiense SECH_84-CI_19	0
LTR/TRIM	Histoplasma mississippiense SECH_84-CI_19	0
TIR/PiggyBac	Histoplasma mississippiense SECH_84-CI_19	4.33e-4
LTR/Copia_1	Histoplasma mississippiense SECH_84-CI_19	0
LTR/Copia_2	Histoplasma mississippiense SECH_84-CI_19	0
LTR/Copia_4	Histoplasma mississippiense SECH_84-CI_19	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_84-CI_19	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_84-CI_19	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_84-CI_19	0
DNAauto/Helitron	Histoplasma mississippiense SECH_84-CI_19	0
DNAnona/Helitron	Histoplasma mississippiense SECH_84-CI_19	0
LTR/Solo	Histoplasma mississippiense SECH_84-CI_19	0
MITE/DTA	Histoplasma mississippiense SECH_84-CI_19	0
Satellite	Histoplasma mississippiense SECH_84-CI_19	0
DNA/DTA	Histoplasma mississippiense SECH_85-CI_22	1.73e-4
DNA/DTC	Histoplasma mississippiense SECH_85-CI_22	0.00214
DNA/DTH	Histoplasma mississippiense SECH_85-CI_22	0.00309
DNA/DTM	Histoplasma mississippiense SECH_85-CI_22	3.66e-4
DNA/DTT	Histoplasma mississippiense SECH_85-CI_22	0
DNA/Helitron	Histoplasma mississippiense SECH_85-CI_22	0.00316
LINE/unknown	Histoplasma mississippiense SECH_85-CI_22	0.001749562
LTR/Copia	Histoplasma mississippiense SECH_85-CI_22	0
LTR/Gypsy	Histoplasma mississippiense SECH_85-CI_22	0.005273443
LTR/unknown	Histoplasma mississippiense SECH_85-CI_22	0.011506369
Low_complexity	Histoplasma mississippiense SECH_85-CI_22	0.003542113
MITE/DTM	Histoplasma mississippiense SECH_85-CI_22	1.27e-4
Simple_repeat	Histoplasma mississippiense SECH_85-CI_22	0.015349272
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_85-CI_22	0
Unknown	Histoplasma mississippiense SECH_85-CI_22	0.029260441
MITE/DTC	Histoplasma mississippiense SECH_85-CI_22	1.95e-5
MITE/DTH	Histoplasma mississippiense SECH_85-CI_22	0
MITE/DTT	Histoplasma mississippiense SECH_85-CI_22	0
LTR/TRIM	Histoplasma mississippiense SECH_85-CI_22	0
TIR/PiggyBac	Histoplasma mississippiense SECH_85-CI_22	0
LTR/Copia_1	Histoplasma mississippiense SECH_85-CI_22	0
LTR/Copia_2	Histoplasma mississippiense SECH_85-CI_22	0
LTR/Copia_4	Histoplasma mississippiense SECH_85-CI_22	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_85-CI_22	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_85-CI_22	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_85-CI_22	0
DNAauto/Helitron	Histoplasma mississippiense SECH_85-CI_22	0
DNAnona/Helitron	Histoplasma mississippiense SECH_85-CI_22	0
LTR/Solo	Histoplasma mississippiense SECH_85-CI_22	0
MITE/DTA	Histoplasma mississippiense SECH_85-CI_22	0
Satellite	Histoplasma mississippiense SECH_85-CI_22	0
DNA/DTA	Histoplasma mississippiense SECH_86-CI_24	1.68e-4
DNA/DTC	Histoplasma mississippiense SECH_86-CI_24	6.76e-4
DNA/DTH	Histoplasma mississippiense SECH_86-CI_24	0.00279
DNA/DTM	Histoplasma mississippiense SECH_86-CI_24	7.78e-5
DNA/DTT	Histoplasma mississippiense SECH_86-CI_24	0
DNA/Helitron	Histoplasma mississippiense SECH_86-CI_24	6.81e-4
LINE/unknown	Histoplasma mississippiense SECH_86-CI_24	0.00149717
LTR/Copia	Histoplasma mississippiense SECH_86-CI_24	0
LTR/Gypsy	Histoplasma mississippiense SECH_86-CI_24	0.004262903
LTR/unknown	Histoplasma mississippiense SECH_86-CI_24	0.012586313
Low_complexity	Histoplasma mississippiense SECH_86-CI_24	0.003824089
MITE/DTM	Histoplasma mississippiense SECH_86-CI_24	1.34e-4
Simple_repeat	Histoplasma mississippiense SECH_86-CI_24	0.016413132
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_86-CI_24	0
Unknown	Histoplasma mississippiense SECH_86-CI_24	0.030202699
MITE/DTC	Histoplasma mississippiense SECH_86-CI_24	1.89e-5
MITE/DTH	Histoplasma mississippiense SECH_86-CI_24	0
MITE/DTT	Histoplasma mississippiense SECH_86-CI_24	0
LTR/TRIM	Histoplasma mississippiense SECH_86-CI_24	0
TIR/PiggyBac	Histoplasma mississippiense SECH_86-CI_24	4.82e-4
LTR/Copia_1	Histoplasma mississippiense SECH_86-CI_24	0
LTR/Copia_2	Histoplasma mississippiense SECH_86-CI_24	0
LTR/Copia_4	Histoplasma mississippiense SECH_86-CI_24	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_86-CI_24	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_86-CI_24	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_86-CI_24	0
DNAauto/Helitron	Histoplasma mississippiense SECH_86-CI_24	0
DNAnona/Helitron	Histoplasma mississippiense SECH_86-CI_24	0
LTR/Solo	Histoplasma mississippiense SECH_86-CI_24	0
MITE/DTA	Histoplasma mississippiense SECH_86-CI_24	0
Satellite	Histoplasma mississippiense SECH_86-CI_24	0
DNA/DTA	Histoplasma mississippiense SECH_87-CI_42	1.52e-4
DNA/DTC	Histoplasma mississippiense SECH_87-CI_42	6.11e-4
DNA/DTH	Histoplasma mississippiense SECH_87-CI_42	0.002952431
DNA/DTM	Histoplasma mississippiense SECH_87-CI_42	7.03e-5
DNA/DTT	Histoplasma mississippiense SECH_87-CI_42	0
DNA/Helitron	Histoplasma mississippiense SECH_87-CI_42	6.16e-4
LINE/unknown	Histoplasma mississippiense SECH_87-CI_42	0.001353068
LTR/Copia	Histoplasma mississippiense SECH_87-CI_42	0
LTR/Gypsy	Histoplasma mississippiense SECH_87-CI_42	0.003852602
LTR/unknown	Histoplasma mississippiense SECH_87-CI_42	0.011374888
Low_complexity	Histoplasma mississippiense SECH_87-CI_42	0.003456023
MITE/DTM	Histoplasma mississippiense SECH_87-CI_42	0
Simple_repeat	Histoplasma mississippiense SECH_87-CI_42	0.014833378
TIR/Tc1_Mariner	Histoplasma mississippiense SECH_87-CI_42	0
Unknown	Histoplasma mississippiense SECH_87-CI_42	0.027295708
MITE/DTC	Histoplasma mississippiense SECH_87-CI_42	1.71e-5
MITE/DTH	Histoplasma mississippiense SECH_87-CI_42	0
MITE/DTT	Histoplasma mississippiense SECH_87-CI_42	0
LTR/TRIM	Histoplasma mississippiense SECH_87-CI_42	0
TIR/PiggyBac	Histoplasma mississippiense SECH_87-CI_42	4.36e-4
LTR/Copia_1	Histoplasma mississippiense SECH_87-CI_42	0
LTR/Copia_2	Histoplasma mississippiense SECH_87-CI_42	0
LTR/Copia_4	Histoplasma mississippiense SECH_87-CI_42	0
LTR/Gypsy_1	Histoplasma mississippiense SECH_87-CI_42	0
LTR/Gypsy_2	Histoplasma mississippiense SECH_87-CI_42	0
LTR/Gypsy_3	Histoplasma mississippiense SECH_87-CI_42	0
DNAauto/Helitron	Histoplasma mississippiense SECH_87-CI_42	0
DNAnona/Helitron	Histoplasma mississippiense SECH_87-CI_42	0
